mutation_id,family,family_index,operator,parameters_json,independent_oracle_detected,oracle_comparison_detected,trace_detected,signature_detected,trace_cases,trace_mismatches,signature_cases,signature_mismatches,affected_kernels,cache_hits,cache_misses,nontermination_guards,first_witness_json
agent_policy_010_2150e2b294,agent_policy,10,threshold_shift,"{""agent"":""speed_only"",""threshold_shift"":2}",1,1,1,1,9216,1293,2304,546,92,0,0,0,"{""agent"":""speed_only"",""difference"":{""observed_length"":2,""observed_step"":[[3,4,0,0],""coast"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""brake"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":42,""mutation_id"":""agent_policy_010_2150e2b294"",""observed_trace_sha256"":""3b839408d6ddcb9f0d74be72e11ebbeaaddc3e547fe0d32c1c619b87bc0531ef"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""c06c3daf1d5c41f24a086c5baec0174e293c71f2406ac82d772f90355d785685"",""parameters"":{""agent"":""speed_only"",""threshold_shift"":2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_011_3b94d03f7c,agent_policy,11,threshold_shift,"{""agent"":""instant_stop"",""threshold_shift"":3}",1,1,1,1,9216,1116,2304,871,109,0,0,0,"{""agent"":""instant_stop"",""difference"":{""observed_length"":2,""observed_step"":[[3,1,0,0],""coast"",""overshoot""],""oracle_length"":3,""oracle_step"":[[3,1,0,0],""brake"",""running""],""step_index"":1},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":59,""mutation_id"":""agent_policy_011_3b94d03f7c"",""observed_trace_sha256"":""3b839408d6ddcb9f0d74be72e11ebbeaaddc3e547fe0d32c1c619b87bc0531ef"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""instant_stop"",""threshold_shift"":3},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_012_c2fe4f451d,agent_policy,12,threshold_shift,"{""agent"":""friction_blind"",""threshold_shift"":1}",1,1,1,1,9216,809,2304,566,113,0,0,0,"{""agent"":""friction_blind"",""difference"":{""observed_length"":3,""observed_step"":[[3,3,0,0],""coast"",""running""],""oracle_length"":3,""oracle_step"":[[3,3,0,0],""brake"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":62,""mutation_id"":""agent_policy_012_c2fe4f451d"",""observed_trace_sha256"":""234f005c85c1c73c53e8300ab4e590daaf411abe71a36c00721a846397b87bd7"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""134fc2a2048b0ed859431823fbdee03307851d1f8288fbc91440d5d15255834b"",""parameters"":{""agent"":""friction_blind"",""threshold_shift"":1},""presentation"":{""delay"":0,""distance_mode"":""coarse"",""name"":""view_02_exact_coarse_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_013_1ea2e08e26,agent_policy,13,threshold_shift,"{""agent"":""reference"",""threshold_shift"":-2}",1,1,1,1,9216,913,2304,778,96,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":47,""mutation_id"":""agent_policy_013_1ea2e08e26"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""reference"",""threshold_shift"":-2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_014_3bf37fb805,agent_policy,14,flip_action_at_margin,"{""agent"":""reference"",""margin"":-2}",1,1,1,1,9216,495,2304,395,81,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":3,""observed_step"":[[2,3,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[2,3,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":47,""mutation_id"":""agent_policy_014_3bf37fb805"",""observed_trace_sha256"":""409ca178234613d9877870de8d06eec906d746aa8828f7b0c09cb2bba7840e3e"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""5f67fdfdbaa979dd73a942b661c37454ebf3f5809e097147b3fd5c82224cb577"",""parameters"":{""agent"":""reference"",""margin"":-2},""presentation"":{""delay"":0,""distance_mode"":""coarse"",""name"":""view_08_coarse_coarse_d0"",""speed_mode"":""coarse""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_015_5395acb57f,agent_policy,15,flip_action_at_margin,"{""agent"":""friction_blind"",""margin"":-2}",1,1,1,1,9216,464,2304,328,82,0,0,0,"{""agent"":""friction_blind"",""difference"":{""observed_length"":3,""observed_step"":[[2,3,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[2,3,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":62,""mutation_id"":""agent_policy_015_5395acb57f"",""observed_trace_sha256"":""409ca178234613d9877870de8d06eec906d746aa8828f7b0c09cb2bba7840e3e"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""5f67fdfdbaa979dd73a942b661c37454ebf3f5809e097147b3fd5c82224cb577"",""parameters"":{""agent"":""friction_blind"",""margin"":-2},""presentation"":{""delay"":0,""distance_mode"":""coarse"",""name"":""view_08_coarse_coarse_d0"",""speed_mode"":""coarse""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_016_5010b6b273,agent_policy,16,threshold_shift,"{""agent"":""instant_stop"",""threshold_shift"":-3}",1,1,1,1,9216,857,2304,571,95,0,0,0,"{""agent"":""instant_stop"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":59,""mutation_id"":""agent_policy_016_5010b6b273"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""instant_stop"",""threshold_shift"":-3},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_017_de7acba9f2,agent_policy,17,threshold_shift,"{""agent"":""speed_only"",""threshold_shift"":-2}",1,1,1,1,9216,1266,2304,430,107,0,0,0,"{""agent"":""speed_only"",""difference"":{""observed_length"":3,""observed_step"":[[2,2,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[2,2,0,0],""coast"",""running""],""step_index"":1},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":42,""mutation_id"":""agent_policy_017_de7acba9f2"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""c06c3daf1d5c41f24a086c5baec0174e293c71f2406ac82d772f90355d785685"",""parameters"":{""agent"":""speed_only"",""threshold_shift"":-2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_018_1b4e603ede,agent_policy,18,flip_action_at_margin,"{""agent"":""instant_stop"",""margin"":-2}",1,1,1,1,9216,334,2304,198,83,0,0,0,"{""agent"":""instant_stop"",""difference"":{""observed_length"":3,""observed_step"":[[2,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[2,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":59,""mutation_id"":""agent_policy_018_1b4e603ede"",""observed_trace_sha256"":""2f2bfb12b5fb3721f7ff423a9b04ccabc4ccaedf70b639e6dcef06d4d7386255"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""11c6d730f5e26d66e085bb30f3c388390332582ff00d0ac5b51eed405d6c094f"",""parameters"":{""agent"":""instant_stop"",""margin"":-2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_06_coarse_exact_d0"",""speed_mode"":""coarse""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_019_cee6c53ca1,agent_policy,19,flip_action_at_margin,"{""agent"":""reference"",""margin"":-1}",1,1,1,1,9216,451,2304,377,64,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":47,""mutation_id"":""agent_policy_019_cee6c53ca1"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""reference"",""margin"":-1},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
boundary_offset_000_88b4a16fb0,boundary_offset,0,boundary_offsets,"{""offsets"":{""terminal_horizon"":1}}",1,1,1,0,9216,288,2304,0,26,0,0,0,"{""agent"":""speed_only"",""difference"":{""observed_length"":11,""observed_step"":[[1,5,0,0],""coast"",""running""],""oracle_length"":10,""oracle_step"":[[1,5,0,0],""coast"",""timeout""],""step_index"":9},""family"":""boundary_offset"",""kernel"":{""brake_force"":4,""friction"":0,""goal_end"":19,""goal_start"":18,""horizon"":10,""name"":""brake_10170"",""start_position"":0,""start_speed"":9},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":59,""mutation_id"":""boundary_offset_000_88b4a16fb0"",""observed_trace_sha256"":""31404e3fb9b9a0716a60ff88311e2717db852e0da195ef854ad03d83d7ae9a06"",""operator"":""boundary_offsets"",""oracle_signature_mask"":59,""oracle_trace_sha256"":""8f1e9363492c79d489f9a74428c4a75924a51d4de7822471aa4c4c8b9c36f601"",""parameters"":{""offsets"":{""terminal_horizon"":1}},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":31}"
boundary_offset_001_7ecc377473,boundary_offset,1,boundary_offsets,"{""offsets"":{""terminal_goal_end"":-1,""terminal_overshoot_end"":1}}",1,1,1,1,9216,2434,2304,59,108,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":4,""observed_step"":[[2,0,1,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[2,0,1,0],""brake"",""overshoot""],""step_index"":2},""family"":""boundary_offset"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":42,""mutation_id"":""boundary_offset_001_7ecc377473"",""observed_trace_sha256"":""39c91d55b34d02dc74628a64f0791f48302a043bd16fed8690442ad2d10d33d3"",""operator"":""boundary_offsets"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""offsets"":{""terminal_goal_end"":-1,""terminal_overshoot_end"":1}},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
boundary_offset_002_8fbee4a5ea,boundary_offset,2,boundary_offsets,"{""offsets"":{""terminal_goal_end"":-1}}",1,1,1,0,9216,689,2304,0,46,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":3,""observed_step"":[[3,1,0,0],""brake"",""stopped""],""oracle_length"":3,""oracle_step"":[[3,1,0,0],""brake"",""win""],""step_index"":2},""family"":""boundary_offset"",""kernel"":{""brake_force"":1,""friction"":1,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0004"",""start_position"":0,""start_speed"":4},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":7,""mutation_id"":""boundary_offset_002_8fbee4a5ea"",""observed_trace_sha256"":""06693afc8d10fae132f2ebbe937c6530a13cc35ee9314319353ceb3b7c444a6c"",""operator"":""boundary_offsets"",""oracle_signature_mask"":7,""oracle_trace_sha256"":""793e80831245a9eb4917bd41df2f014cdc693088bad81213f49fa5f2f0ac0fe7"",""parameters"":{""offsets"":{""terminal_goal_end"":-1}},""presentation"":{""delay"":1,""distance_mode"":""exact"",""name"":""view_01_exact_exact_d1"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":1}"
